City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Svetlaya,RU,46.54,138.33,23.3,71,0,5.59,clear sky
254,Antananarivo,MG,-18.91,47.54,15.0,93,75,1.0,broken clouds
255,Baykit,RU,61.67,96.37,15.51,81,97,1.64,overcast clouds
256,Chiredzi,ZW,-21.05,31.67,15.25,35,0,1.51,clear sky
257,Aksarka,RU,66.56,67.8,8.23,92,0,2.63,clear sky
258,Pacific Grove,US,36.62,-121.92,22.78,60,1,4.6,clear sky
259,Landerneau,FR,48.45,-4.25,23.0,56,0,1.5,clear sky
260,Muzhi,RU,65.37,64.67,8.47,85,14,0.83,few clouds
261,Babynino,RU,54.39,35.73,14.0,82,15,2.0,few clouds
262,Marsh Harbour,BS,26.54,-77.06,29.04,74,76,3.51,broken clouds
263,Fairbanks,US,64.84,-147.72,25.0,38,1,5.68,clear sky
264,Lafiagi,NG,8.87,5.42,23.79,92,95,1.58,overcast clouds
265,Cedar City,US,37.68,-113.06,36.0,5,1,6.2,clear sky
266,Yarada,IN,17.65,83.27,27.0,94,40,1.0,mist
267,Nadadores,MX,27.05,-101.6,30.0,53,17,1.79,few clouds
268,Garissa,KE,-0.45,39.64,24.08,76,3,7.9,clear sky
269,Shwebo,MM,22.57,95.7,25.34,89,88,3.8,moderate rain
270,Camacupa,AO,-12.02,17.48,12.38,41,0,2.39,clear sky
271,Mbeya,TZ,-8.9,33.45,13.17,86,8,3.03,clear sky
272,Shelburne,CA,44.08,-80.2,25.0,57,20,4.6,few clouds
273,Beaufort,MY,5.35,115.75,25.0,100,20,1.68,few clouds
274,Cabo San Lucas,MX,22.89,-109.91,32.0,58,5,5.7,clear sky
275,Tateyama,JP,34.98,139.87,23.89,100,75,0.5,broken clouds
276,Mount Gambier,AU,-37.83,140.77,4.0,100,64,2.1,broken clouds
277,Dingle,PH,11.0,122.67,26.38,85,100,2.82,overcast clouds
278,Lakes Entrance,AU,-37.88,147.98,6.11,98,0,2.54,clear sky
279,Mareeba,AU,-17.0,145.43,20.56,72,39,1.34,scattered clouds
280,Salinas,US,36.68,-121.66,22.78,60,1,7.2,clear sky
281,Tulum,MX,20.22,-87.47,32.22,66,40,5.1,scattered clouds
282,Takoradi,GH,4.88,-1.76,23.41,86,30,3.51,scattered clouds
283,Alexandria,EG,31.22,29.96,26.45,75,0,4.22,clear sky
284,Beringovskiy,RU,63.05,179.32,9.84,89,99,6.04,overcast clouds
285,Vila Velha,BR,-20.33,-40.29,23.0,88,75,6.7,heavy intensity rain
286,Kurilsk,RU,45.23,147.88,17.6,82,0,4.6,clear sky
287,New Norfolk,AU,-42.78,147.06,11.11,83,100,0.89,overcast clouds
288,Alice Springs,AU,-23.7,133.88,1.0,40,0,2.1,clear sky
289,Nelson Bay,AU,-32.72,152.15,13.33,81,75,3.6,broken clouds
290,Tabas,IR,33.6,56.92,32.0,22,0,1.0,clear sky
291,Rocha,UY,-34.48,-54.33,5.08,85,0,3.25,clear sky
292,Qui Nhon,VN,13.77,109.23,26.43,81,100,2.51,overcast clouds
293,Sao Filipe,CV,14.9,-24.5,24.53,83,19,3.0,few clouds
294,Saurimo,AO,-9.66,20.39,17.3,30,0,2.12,clear sky
295,Catuday,PH,16.29,119.81,26.04,88,100,6.89,overcast clouds
296,Walvis Bay,NA,-22.96,14.51,23.0,18,0,6.2,clear sky
297,Custodia,BR,-8.09,-37.64,19.02,67,0,4.99,clear sky
298,Chake Chake,TZ,-5.25,39.77,24.09,88,12,5.28,few clouds
299,Guanica,PR,17.97,-66.91,26.67,92,100,1.79,moderate rain
300,Ballina,AU,-28.87,153.57,15.0,62,75,5.1,broken clouds
301,Georgetown,MY,5.41,100.34,26.0,94,20,1.5,few clouds
302,Drumnadrochit,GB,57.33,-4.48,14.0,100,100,2.1,overcast clouds
303,Doha,QA,25.29,51.53,35.56,79,4,1.0,clear sky
304,Svetlogorsk,BY,52.63,29.73,12.69,87,50,2.87,scattered clouds
305,Half Moon Bay,US,37.46,-122.43,24.44,64,5,5.7,clear sky
306,Bandundu,CD,-3.32,17.37,28.54,36,70,0.99,broken clouds
307,Krasnoselkup,RU,65.7,82.47,15.92,97,100,3.48,moderate rain
308,San Patricio,MX,19.22,-104.7,30.87,62,35,3.17,scattered clouds
309,Chifeng,CN,42.27,118.96,24.95,58,100,2.14,overcast clouds
310,Aleksandrov Gay,RU,50.15,48.57,23.58,61,67,0.5,broken clouds
311,Danane,CI,7.26,-8.15,21.13,98,26,1.04,light rain
312,Clyde River,CA,70.47,-68.59,3.0,100,90,8.2,mist
313,Sal Rei,CV,16.18,-22.92,26.0,69,75,3.1,broken clouds
314,Jieshi,CN,22.81,115.83,28.58,79,26,9.81,light rain
