City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
407,Mekhe,SN,28.0,scattered clouds,15.11,-16.62,Hôtel Keur Mame Astou
408,Marieville,CA,25.0,light rain,45.43,-73.17,Manoir Ramezay
409,Wadi Musa,JO,23.35,clear sky,30.32,35.48,Petra Palace Hotel
412,Morant Bay,JM,35.0,scattered clouds,17.88,-76.41,Whispering Bamboo Cove Resort
414,Touba,CI,21.31,clear sky,8.28,-7.68,Hotel de L'Amitié Vraie
415,Oistins,BB,29.0,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
416,Sakakah,SA,39.0,broken clouds,29.97,40.21,Fakhamat Al Orjoana Apartment
421,Jacareacanga,BR,27.05,few clouds,-6.22,-57.75,Casa do Ian😎
424,Cayenne,GF,28.0,light rain,4.93,-52.33,Hôtel Le Dronmi
426,Srednyaya Akhtuba,RU,24.0,broken clouds,48.71,44.87,"Topolya, Baza Otdykha Ooo ""Fort"""
428,Dekalb,US,30.0,moderate rain,33.75,-84.23,"America's Best Inn Georgia, GA"
429,Buala,SB,29.03,light rain,-8.14,159.59,Maringe Lagoon Lodge
431,Bowen,AU,20.0,clear sky,-20.02,148.23,Castle Motor Lodge Motel
433,Luxor,EG,36.11,clear sky,25.7,32.64,Iberotel Luxor
434,Baoshan,CN,24.9,few clouds,46.56,131.42,Kelaixiang Restaurant
435,Riberalta,BO,24.91,clear sky,-10.98,-66.1,Hotel Colonial
436,Samarai,PG,24.03,broken clouds,-10.62,150.67,Nuli Sapi
437,Nabire,ID,24.19,light rain,-3.37,135.48,Hotel Nusantara Nabire
439,Oussouye,SN,27.0,scattered clouds,12.48,-16.55,Auberge du Routard
440,Yining,CN,25.62,light rain,29.04,114.56,Xiushui Hotel
441,Zhob,PK,27.81,clear sky,31.34,69.45,ROOM # 105 DUBAI HOTEL ZHOB
442,Asfi,MA,23.07,scattered clouds,32.3,-9.24,Hôtel Abda
443,Tudela,ES,26.0,broken clouds,42.06,-1.6,Sercotel Hotel Tudela Bardenas
444,Cockburn Town,TC,25.82,light rain,21.46,-71.14,Osprey Beach Hotel
446,Pierre,US,31.11,clear sky,44.37,-100.35,Ramkota Hotel
448,San Lorenzo,PY,20.0,broken clouds,-25.33,-57.53,Canarias Hotel
449,Dubuque,US,27.0,broken clouds,42.48,-90.87,American Inn and Suites
451,Kahului,US,32.0,scattered clouds,20.89,-156.47,Maui Seaside Hotel
452,Gambela,ET,22.17,light rain,8.25,34.58,Solomon Debebe Hotel
453,Acandi,CO,27.96,light rain,8.51,-77.28,Hotel Patio Bonito
454,Buchanan,LR,24.57,light rain,5.88,-10.05,Kamaneahn Hotel Inc
455,Dir,PK,21.5,light rain,35.21,71.88,Dir electric store
456,Jacmel,HT,31.0,light rain,18.23,-72.53,Hotel Florita
457,Minab,IR,34.0,haze,27.15,57.08,فروشگاه موبایل ترکمانی
460,Port Antonio,JM,35.0,scattered clouds,18.18,-76.46,Trident Hotel
